acct_id,type,acct_stat,acct_rptng_crncy
0,SAV,A,USD
1,SAV,A,USD
2,SAV,A,USD
3,SAV,A,USD
4,SAV,A,USD
5,SAV,A,USD
6,SAV,A,USD
7,SAV,A,USD
8,SAV,A,USD
9,SAV,A,USD
10,SAV,A,USD
11,SAV,A,USD
12,SAV,A,USD
13,SAV,A,USD
14,SAV,A,USD
15,SAV,A,USD
16,SAV,A,USD
17,SAV,A,USD
18,SAV,A,USD
19,SAV,A,USD
20,SAV,A,USD
21,SAV,A,USD
22,SAV,A,USD
23,SAV,A,USD
24,SAV,A,USD
25,SAV,A,USD
26,SAV,A,USD
27,SAV,A,USD
28,SAV,A,USD
29,SAV,A,USD
30,SAV,A,USD
31,SAV,A,USD
32,SAV,A,USD
33,SAV,A,USD
34,SAV,A,USD
35,SAV,A,USD
36,SAV,A,USD
37,SAV,A,USD
38,SAV,A,USD
39,SAV,A,USD
40,SAV,A,USD
41,SAV,A,USD
42,SAV,A,USD
43,SAV,A,USD
44,SAV,A,USD
45,SAV,A,USD
46,SAV,A,USD
47,SAV,A,USD
48,SAV,A,USD
49,SAV,A,USD
50,SAV,A,USD
51,SAV,A,USD
52,SAV,A,USD
53,SAV,A,USD
54,SAV,A,USD
55,SAV,A,USD
56,SAV,A,USD
57,SAV,A,USD
58,SAV,A,USD
59,SAV,A,USD
60,SAV,A,USD
61,SAV,A,USD
62,SAV,A,USD
63,SAV,A,USD
64,SAV,A,USD
65,SAV,A,USD
66,SAV,A,USD
67,SAV,A,USD
68,SAV,A,USD
69,SAV,A,USD
70,SAV,A,USD
71,SAV,A,USD
72,SAV,A,USD
73,SAV,A,USD
74,SAV,A,USD
75,SAV,A,USD
76,SAV,A,USD
77,SAV,A,USD
78,SAV,A,USD
79,SAV,A,USD
80,SAV,A,USD
81,SAV,A,USD
82,SAV,A,USD
83,SAV,A,USD
84,SAV,A,USD
85,SAV,A,USD
86,SAV,A,USD
87,SAV,A,USD
88,SAV,A,USD
89,SAV,A,USD
90,SAV,A,USD
91,SAV,A,USD
92,SAV,A,USD
93,SAV,A,USD
94,SAV,A,USD
95,SAV,A,USD
96,SAV,A,USD
97,SAV,A,USD
98,SAV,A,USD
99,SAV,A,USD
100,SAV,A,USD
101,SAV,A,USD
102,SAV,A,USD
103,SAV,A,USD
104,SAV,A,USD
105,SAV,A,USD
106,SAV,A,USD
107,SAV,A,USD
108,SAV,A,USD
109,SAV,A,USD
110,SAV,A,USD
111,SAV,A,USD
112,SAV,A,USD
113,SAV,A,USD
114,SAV,A,USD
115,SAV,A,USD
116,SAV,A,USD
117,SAV,A,USD
118,SAV,A,USD
119,SAV,A,USD
120,SAV,A,USD
121,SAV,A,USD
122,SAV,A,USD
123,SAV,A,USD
124,SAV,A,USD
125,SAV,A,USD
126,SAV,A,USD
127,SAV,A,USD
128,SAV,A,USD
129,SAV,A,USD
130,SAV,A,USD
131,SAV,A,USD
132,SAV,A,USD
133,SAV,A,USD
134,SAV,A,USD
135,SAV,A,USD
136,SAV,A,USD
137,SAV,A,USD
138,SAV,A,USD
139,SAV,A,USD
140,SAV,A,USD
141,SAV,A,USD
142,SAV,A,USD
143,SAV,A,USD
144,SAV,A,USD
145,SAV,A,USD
146,SAV,A,USD
147,SAV,A,USD
148,SAV,A,USD
149,SAV,A,USD
150,SAV,A,USD
151,SAV,A,USD
152,SAV,A,USD
153,SAV,A,USD
154,SAV,A,USD
155,SAV,A,USD
156,SAV,A,USD
157,SAV,A,USD
158,SAV,A,USD
159,SAV,A,USD
160,SAV,A,USD
161,SAV,A,USD
162,SAV,A,USD
163,SAV,A,USD
164,SAV,A,USD
165,SAV,A,USD
166,SAV,A,USD
167,SAV,A,USD
168,SAV,A,USD
169,SAV,A,USD
170,SAV,A,USD
171,SAV,A,USD
172,SAV,A,USD
173,SAV,A,USD
174,SAV,A,USD
175,SAV,A,USD
176,SAV,A,USD
177,SAV,A,USD
178,SAV,A,USD
179,SAV,A,USD
180,SAV,A,USD
181,SAV,A,USD
182,SAV,A,USD
183,SAV,A,USD
184,SAV,A,USD
185,SAV,A,USD
186,SAV,A,USD
187,SAV,A,USD
188,SAV,A,USD
189,SAV,A,USD
190,SAV,A,USD
191,SAV,A,USD
192,SAV,A,USD
193,SAV,A,USD
194,SAV,A,USD
195,SAV,A,USD
196,SAV,A,USD
197,SAV,A,USD
198,SAV,A,USD
199,SAV,A,USD
200,SAV,A,USD
201,SAV,A,USD
202,SAV,A,USD
203,SAV,A,USD
204,SAV,A,USD
205,SAV,A,USD
206,SAV,A,USD
207,SAV,A,USD
208,SAV,A,USD
209,SAV,A,USD
210,SAV,A,USD
211,SAV,A,USD
212,SAV,A,USD
213,SAV,A,USD
214,SAV,A,USD
215,SAV,A,USD
216,SAV,A,USD
217,SAV,A,USD
218,SAV,A,USD
219,SAV,A,USD
220,SAV,A,USD
221,SAV,A,USD
222,SAV,A,USD
223,SAV,A,USD
224,SAV,A,USD
225,SAV,A,USD
226,SAV,A,USD
227,SAV,A,USD
228,SAV,A,USD
229,SAV,A,USD
230,SAV,A,USD
231,SAV,A,USD
232,SAV,A,USD
233,SAV,A,USD
234,SAV,A,USD
235,SAV,A,USD
236,SAV,A,USD
237,SAV,A,USD
238,SAV,A,USD
239,SAV,A,USD
240,SAV,A,USD
241,SAV,A,USD
242,SAV,A,USD
243,SAV,A,USD
244,SAV,A,USD
245,SAV,A,USD
246,SAV,A,USD
247,SAV,A,USD
248,SAV,A,USD
249,SAV,A,USD
250,SAV,A,USD
251,SAV,A,USD
252,SAV,A,USD
253,SAV,A,USD
254,SAV,A,USD
255,SAV,A,USD
256,SAV,A,USD
257,SAV,A,USD
258,SAV,A,USD
259,SAV,A,USD
260,SAV,A,USD
261,SAV,A,USD
262,SAV,A,USD
263,SAV,A,USD
264,SAV,A,USD
265,SAV,A,USD
266,SAV,A,USD
267,SAV,A,USD
268,SAV,A,USD
269,SAV,A,USD
270,SAV,A,USD
271,SAV,A,USD
272,SAV,A,USD
273,SAV,A,USD
274,SAV,A,USD
275,SAV,A,USD
276,SAV,A,USD
277,SAV,A,USD
278,SAV,A,USD
279,SAV,A,USD
280,SAV,A,USD
281,SAV,A,USD
282,SAV,A,USD
283,SAV,A,USD
284,SAV,A,USD
285,SAV,A,USD
286,SAV,A,USD
287,SAV,A,USD
288,SAV,A,USD
289,SAV,A,USD
290,SAV,A,USD
291,SAV,A,USD
292,SAV,A,USD
293,SAV,A,USD
294,SAV,A,USD
295,SAV,A,USD
296,SAV,A,USD
297,SAV,A,USD
298,SAV,A,USD
299,SAV,A,USD
300,SAV,A,USD
301,SAV,A,USD
302,SAV,A,USD
303,SAV,A,USD
304,SAV,A,USD
305,SAV,A,USD
306,SAV,A,USD
307,SAV,A,USD
308,SAV,A,USD
309,SAV,A,USD
310,SAV,A,USD
311,SAV,A,USD
312,SAV,A,USD
313,SAV,A,USD
314,SAV,A,USD
315,SAV,A,USD
316,SAV,A,USD
317,SAV,A,USD
318,SAV,A,USD
319,SAV,A,USD
320,SAV,A,USD
321,SAV,A,USD
322,SAV,A,USD
323,SAV,A,USD
324,SAV,A,USD
325,SAV,A,USD
326,SAV,A,USD
327,SAV,A,USD
328,SAV,A,USD
329,SAV,A,USD
330,SAV,A,USD
331,SAV,A,USD
332,SAV,A,USD
333,SAV,A,USD
334,SAV,A,USD
335,SAV,A,USD
336,SAV,A,USD
337,SAV,A,USD
338,SAV,A,USD
339,SAV,A,USD
340,SAV,A,USD
341,SAV,A,USD
342,SAV,A,USD
343,SAV,A,USD
344,SAV,A,USD
345,SAV,A,USD
346,SAV,A,USD
347,SAV,A,USD
348,SAV,A,USD
349,SAV,A,USD
