tran_id,orig_acct
36665,1519
26790,1308
63670,1208
2604,1066
14832,1066
28233,1066
40781,1066
52330,1066
64750,1066
77879,1066
4765,1340
65781,1340
40130,1373
10617,1637
22167,1637
33942,1637
48106,1637
59901,1637
72185,1637
83571,1637
2902,1000
75302,1308
26833,251
7109,1770
18461,1770
30947,1770
43979,1770
55257,1770
68506,1770
81041,1770
16287,1405
23076,1405
78403,1405
10278,1255
41955,1255
7134,1881
1261,1148
13807,1148
26803,1148
38949,1148
51096,1148
63133,1148
76421,1148
87785,1148
224,774
87014,774
5716,634
8190,1441
25593,1441
87179,1441
20190,1803
9470,988
9,191
37709,191
75703,191
3178,1982
15581,1982
27642,1982
39727,1982
52469,1982
64296,1982
76632,1982
615,191
14156,191
51280,191
88179,191
26665,191
62955,191
61831,1361
1827,1936
13794,1936
26604,1936
38191,1936
50311,1936
63171,1936
75338,1936
87794,1936
5542,59
30536,59
56655,59
80081,59
36542,1276
86559,1276
34450,262
71564,262
790,340
38232,340
75494,340
4127,17
17259,17
29523,17
42204,17
53592,17
67251,17
78347,17
31681,1595
32817,1513
11,1802
63151,1802
6794,1802
6957,1802
18584,1802
30356,1802
43019,1802
55834,1802
69020,1802
80971,1802
6716,1836
17973,1836
18020,1836
31279,1836
44131,1836
55664,1836
69010,1836
80075,1836
11485,1802
9128,437
9987,942
21540,942
34896,942
47395,942
59392,942
72804,942
85072,942
6258,1596
29780,1596
80682,1596
16627,354
54194,354
13,295
14060,295
50601,295
86966,295
12861,461
890,295
37651,295
74920,295
34547,387
72543,387
25365,295
62573,295
14,1053
14020,1053
25847,1053
38772,1053
49900,1053
51748,1053
63933,1053
76024,1053
87383,1053
2537,1933
64838,1933
79536,1933
15112,1596
34305,1596
76946,1596
24219,275
28228,275
39941,687
519,1053
13118,1394
50335,1394
32779,1053
8586,757
20493,783
16,1018
50416,1018
3693,880
16833,880
29869,880
37540,880
42523,880
53450,880
65823,880
79139,880
87854,880
13937,1165
64063,1165
26513,1357
75177,1357
15788,1018
77997,1018
40315,215
75034,215
2224,1755
11354,1755
23756,1755
36670,1755
49816,1755
61132,1755
64295,1755
73553,1755
86766,1755
6951,937
19097,937
31577,937
43555,937
52423,937
55402,937
68859,937
81437,937
27070,1455
72086,1455
28939,1470
7408,72
33012,72
57113,72
83379,72
3905,1760
17604,1760
29151,1760
42023,1760
53636,1760
67401,1760
79855,1760
5577,373
43559,373
81239,373
32537,174
70015,174
45276,1258
32738,269
70767,269
49044,1345
18367,1404
81637,1404
38647,1395
9269,1386
71480,1386
28204,1315
2938,1838
14645,1838
27309,1838
40010,1838
53289,1838
65419,1838
77525,1838
16336,1480
79452,1480
4352,1910
17622,1910
30068,1910
42463,1910
54817,1910
65836,1910
79488,1910
32053,301
69257,301
8187,1523
71008,1523
32939,1365
8929,895
20905,895
33498,895
46016,895
57760,895
70829,895
82216,895
14360,106
40627,106
64164,106
36322,1526
1390,902
13110,902
25373,902
38816,902
51017,902
60714,902
64086,902
75648,902
88721,902
23838,1183
86206,1183
11629,665
73299,665
12398,1988
24700,1988
36876,1988
48343,1988
48967,1988
61900,1988
73270,1988
86665,1988
38767,1526
27745,1241
36980,118
736,1211
51639,1211
14804,328
53336,328
19888,1380
82325,1380
35591,302
72607,302
633,457
19,680
51512,680
25293,1711
76083,1711
38089,1999
88020,1999
12989,186
62464,186
2181,1790
14926,1790
26907,1790
40099,1790
53099,1790
65320,1790
77058,1790
46459,1261
2129,125
27772,125
51820,125
77143,125
34505,1527
37131,284
86401,284
21,1748
13493,1748
26661,1748
37701,1748
50846,1748
63205,1748
74766,1748
88384,1748
7771,1291
69840,1291
22,1199
13763,1199
25138,1199
37766,1199
50718,1199
64027,1199
74650,1199
88525,1199
5657,829
18865,829
30980,829
44096,829
55538,829
68805,829
80123,829
70910,1367
48234,1199
12416,1654
74488,1654
7566,910
20804,910
33029,910
44625,910
57698,910
61057,910
70467,910
82143,910
24500,1746
86514,1746
37273,1755
53372,1486
31539,1833
19581,1546
29692,1546
6526,599
23155,51
47081,51
72790,51
4898,186
42125,186
79470,186
50122,255
8642,1092
21006,1092
33615,1092
45447,1092
57205,1092
69700,1092
83142,1092
9031,1132
22313,1132
35471,1132
46780,1132
58991,1132
72506,1132
85172,1132
9500,1774
22333,1774
33984,1774
46857,1774
59829,1774
71662,1774
83645,1774
14234,1961
62864,1961
627,752
50109,752
38051,1015
88555,1015
25630,540
74913,540
10061,1076
22456,1167
56795,1447
267,118
25016,118
50941,118
75057,118
786,1474
63524,1474
12802,281
50266,281
87359,281
28180,233
65188,233
41002,1506
22718,1586
84394,1586
3501,1712
14665,1712
27845,1712
39760,1712
53279,1712
65175,1712
76701,1712
51659,1296
72144,258
39331,1315
32227,1575
18061,132
43746,132
69152,132
1393,1625
13009,1625
25248,1625
38559,1625
51065,1625
62637,1625
74798,1625
88230,1625
2342,217
39550,217
76498,217
40548,1569
28609,1287
21686,366
59454,366
34982,1327
28,1886
13371,1886
25765,1886
37549,1886
51559,1886
63716,1886
75866,1886
87146,1886
6089,816
17933,816
31841,816
44013,816
55586,816
68987,816
81052,816
30496,1437
44843,1886
20229,380
70507,380
7622,895
57638,895
32356,157
32885,157
82549,157
9011,1268
12637,1268
62619,1268
21578,1337
56824,1337
15145,1378
77595,1378
18531,318
56300,318
1379,1316
63922,1316
30249,299
67271,299
31276,1312
8903,119
32486,119
57445,119
83267,119
31315,1584
45951,1278
8687,1607
20720,1607
32816,1607
45931,1607
57693,1607
70868,1607
83403,1607
9814,215
46847,215
84069,215
22023,293
59148,293
23033,1570
83759,1570
12462,279
49409,279
86583,279
1413,638
49871,1420
14085,1394
76262,1394
2179,1756
15089,1756
28151,1756
39372,1756
53005,1756
65062,1756
76764,1756
4495,1776
16036,1776
30012,1776
42742,1776
54814,1776
67175,1776
79029,1776
21077,1577
82994,1577
9891,211
47894,211
84681,211
11891,247
49420,247
85902,247
38,1644
13195,1644
25202,1644
39066,1644
48739,1644
50024,1644
63420,1644
76314,1644
87491,1644
23416,1757
73004,1757
36462,1616
85614,1616
11691,986
61237,986
20602,1435
81713,1435
3767,188
41988,188
79914,188
7714,1800
8405,277
45524,277
81693,277
24715,1210
74363,1210
217,260
37846,260
75283,260
42,982
62811,982
1471,982
13629,982
26203,982
39193,982
49952,982
63586,982
75416,982
87456,982
6796,1048
20214,325
58046,325
7911,292
44997,292
81701,292
13613,1363
87808,1363
3022,918
14546,918
26927,918
39368,918
52500,918
64303,918
77275,918
9431,1347
46108,1347
10620,836
21857,836
35698,836
47804,836
59756,836
72164,836
84150,836
84348,836
1536,542
24662,145
49034,145
74113,145
11811,194
32832,194
69901,194
46,943
14047,943
26149,943
38268,943
50857,943
63684,943
74893,943
88021,943
1078,844
13634,844
25518,844
38947,844
49884,844
62806,844
75744,844
86964,844
8710,165
17185,202
54918,202
7753,933
20242,933
33463,933
45725,933
57023,933
70093,933
81688,933
50421,1310
34880,1473
30916,1471
56117,1374
23273,163
58743,163
61821,1485
9673,535
134,1417
39309,1417
52,178
37563,178
76485,178
25607,393
62574,393
13869,178
51384,178
88300,178
27213,222
64994,222
26787,178
62333,178
9547,1805
21767,1805
34650,1805
46636,1805
58813,1805
71976,1805
84918,1805
53,1070
13354,1070
25268,1070
38702,1070
49888,1070
62493,1070
76417,1070
87596,1070
53753,1528
54,384
37961,384
74720,384
13036,384
50483,384
88280,384
26714,384
62234,384
31056,385
69275,385
55,1987
13864,1987
26362,1987
37511,1987
49990,1987
62698,1987
75640,1987
87740,1987
15510,1436
76554,1436
42766,1332
3500,27
26868,27
52236,27
77154,27
4501,1249
54389,1249
31967,173
69185,173
6687,1916
19159,1916
31332,1916
43945,1916
56727,1916
68449,1916
80279,1916
10010,1846
22107,1846
34949,1846
47692,1846
59529,1846
71517,1846
84200,1846
14026,1987
75782,1987
105,1920
62749,1920
25368,1337
49975,1337
87316,1337
38994,1111
8315,1059
21427,1059
32727,1059
45978,1059
51000,1059
57460,1059
70876,1059
82480,1059
30497,1987
6770,1577
58023,1577
18977,1729
56,1668
12579,1668
26297,1668
38987,1668
42657,1668
50567,1668
62893,1668
75465,1668
87588,1668
4132,920
78178,920
29585,934
16649,833
6048,1124
19575,1124
31653,1124
43459,1124
54091,1124
56636,1124
68428,1124
80379,1124
9585,940
22544,940
34240,940
47657,940
59315,940
67460,940
72860,940
84513,940
57,1072
13085,1072
25124,1072
37928,1072
50313,1072
54423,1072
63462,1072
74923,1072
87023,1072
5258,35
32770,35
65899,35
28746,1646
42174,1987
16322,765
79104,765
58,1711
13042,1711
25740,1711
39183,1711
51664,1711
62909,1711
74660,1711
87849,1711
61,1711
13045,1711
25743,1711
39186,1711
51667,1711
62912,1711
74663,1711
87852,1711
58454,1313
62,1114
13962,1114
25583,1114
38264,1114
50459,1114
62431,1114
75673,1114
88730,1114
66370,1234
17517,1545
63,1202
50093,1202
7191,1202
25637,1202
70942,1202
75272,1202
33148,1467
88491,1467
6080,809
18678,809
30799,809
42889,809
56072,809
58203,809
68930,809
81475,809
20674,1446
43508,1446
82099,1446
45203,1759
12721,1202
62314,1202
25374,1489
88698,1489
38549,1202
88306,1202
43165,1335
64,1445
63647,1445
13012,1445
74622,1445
26535,1445
87999,1445
38961,1445
50795,1445
20338,1207
69653,1207
9412,227
47052,227
84325,227
48419,1308
26931,177
65750,177
11711,1533
86692,1533
2031,1711
14657,1711
27767,1711
39480,1711
52048,1711
64762,1711
77653,1711
30885,395
69187,395
33743,1512
60474,1566
10112,1818
21682,1818
34945,1818
48090,1818
59598,1818
72148,1818
84410,1818
12582,1489
75515,1489
44189,1426
5401,1571
67702,1571
66,1144
14129,1144
