tran_id,bene_acct
1,780
13135,780
13546,780
26058,780
39106,780
50254,780
62602,780
75512,780
87404,780
87454,780
348,780
71583,780
74702,780
993,780
25897,780
38708,780
51698,780
63571,780
2,236
62662,236
10419,236
21571,236
34264,236
47200,236
59448,236
71771,236
84034,236
13547,40
74726,40
25023,1796
87041,1796
38594,262
50926,1921
54572,1921
3,186
13059,186
25327,186
38672,186
50595,186
62360,186
74863,186
88541,186
685,186
13800,186
26542,186
38271,186
50217,186
63424,186
75549,186
87646,186
65134,186
18347,186
20844,575
32534,575
8889,575
2604,1866
14832,1866
28233,1866
40781,1866
52330,1866
64750,1866
77879,1866
63381,1842
26033,1921
18076,1921
42800,1921
32239,1921
15689,605
28080,605
10884,1391
24396,1391
36635,1391
48941,1391
60878,1391
73978,1391
85969,1391
46443,504
9362,504
35711,504
72408,504
32328,445
15956,1367
8953,351
22531,351
34414,351
47627,351
59567,351
71258,351
83511,351
54493,1804
12568,461
34046,461
26665,238
62955,238
61831,238
10,388
76304,388
12824,1140
87883,1140
25983,1140
88711,1140
25506,1882
61590,1882
27072,1882
58674,1882
34349,1882
39112,1056
20587,1056
59474,1056
49859,1893
63620,1928
356,1928
75252,1928
27345,1928
3258,1928
78069,1928
4645,1928
78774,1928
30447,1928
57340,1928
21851,1928
85090,1928
59587,1928
11,558
63151,558
25440,558
88571,558
13512,558
75341,558
51555,558
38709,558
43550,612
18433,612
30414,612
23649,444
23715,444
86000,444
35979,444
12,684
34486,684
75229,684
2222,684
21542,684
64689,684
2869,607
39218,607
13322,1185
88487,1185
47603,1185
52109,1185
24295,743
26115,743
48183,743
62860,743
60931,743
10933,743
85642,743
35951,743
74339,743
31706,799
50907,799
18919,799
37632,799
6258,799
29780,799
80682,799
44440,799
68151,799
55243,799
63248,817
15006,536
25147,536
77402,536
38190,536
54705,536
890,394
37651,394
74920,394
34547,394
72543,394
26402,471
54946,471
38775,471
46233,471
3693,511
16833,511
29869,511
37540,511
42523,511
53450,511
65823,511
79139,511
87854,511
