tran_id,tx_type
1,TRANSFER
13135,TRANSFER
13546,TRANSFER
26058,TRANSFER
39106,TRANSFER
50254,TRANSFER
62602,TRANSFER
75512,TRANSFER
87404,TRANSFER
87454,TRANSFER
348,TRANSFER
71583,TRANSFER
74702,TRANSFER
993,TRANSFER
25897,TRANSFER
38708,TRANSFER
51698,TRANSFER
63571,TRANSFER
2,TRANSFER
62662,TRANSFER
10419,TRANSFER
21571,TRANSFER
34264,TRANSFER
47200,TRANSFER
59448,TRANSFER
71771,TRANSFER
84034,TRANSFER
13547,TRANSFER
74726,TRANSFER
25023,TRANSFER
87041,TRANSFER
38594,TRANSFER
50926,TRANSFER
54572,TRANSFER
3,TRANSFER
13059,TRANSFER
25327,TRANSFER
38672,TRANSFER
50595,TRANSFER
62360,TRANSFER
74863,TRANSFER
88541,TRANSFER
685,TRANSFER
13800,TRANSFER
26542,TRANSFER
38271,TRANSFER
50217,TRANSFER
63424,TRANSFER
75549,TRANSFER
87646,TRANSFER
65134,TRANSFER
18347,TRANSFER
20844,TRANSFER
32534,TRANSFER
8889,TRANSFER
2604,TRANSFER
14832,TRANSFER
28233,TRANSFER
40781,TRANSFER
52330,TRANSFER
64750,TRANSFER
77879,TRANSFER
63381,TRANSFER
26033,TRANSFER
18076,TRANSFER
42800,TRANSFER
32239,TRANSFER
15689,TRANSFER
28080,TRANSFER
10884,TRANSFER
24396,TRANSFER
36635,TRANSFER
48941,TRANSFER
60878,TRANSFER
73978,TRANSFER
85969,TRANSFER
46443,TRANSFER
9362,TRANSFER
35711,TRANSFER
72408,TRANSFER
32328,TRANSFER
15956,TRANSFER
8953,TRANSFER
22531,TRANSFER
34414,TRANSFER
47627,TRANSFER
59567,TRANSFER
71258,TRANSFER
83511,TRANSFER
54493,TRANSFER
12568,TRANSFER
34046,TRANSFER
26665,TRANSFER
62955,TRANSFER
61831,TRANSFER
10,TRANSFER
76304,TRANSFER
12824,TRANSFER
87883,TRANSFER
25983,TRANSFER
88711,TRANSFER
25506,TRANSFER
61590,TRANSFER
27072,TRANSFER
58674,TRANSFER
34349,TRANSFER
39112,TRANSFER
