tran_id,base_amt
40439,509.27
52234,899.5
69179,115.81
25023,973.39
87041,755.44
5837,840.5
56554,112.76
32384,148.41
50926,141.95
1356,625.27
26941,402.96
54572,115.14
36665,340.39
77147,295.73
82843,700.61
70216,801.5
58149,730.22
13019,129.36
77607,404.61
2789,715.35
65027,127.44
7920,864.31
39487,328.78
27095,394.33
48791,211.5
14484,233.63
52581,623.2
25156,889.8
67412,391.12
76592,561.95
6108,374.32
18576,917.67
30475,462.28
42873,127.15
55217,984.03
67903,598.29
80918,610.56
86956,267.04
13829,953.82
78468,975.43
68983,966.07
6,146.14
25600,352.54
33576,177.31
29769,146.14
7134,977.39
20566,294.21
39644,192.29
27661,901.08
14747,146.14
46089,126.08
37356,146.14
57801,172.71
7133,146.14
69549,476.22
21648,146.14
82002,740.77
1261,392.81
13807,233.11
26803,777.52
38949,544.67
51096,599.27
63133,628.67
76421,692.41
87785,804.33
13733,744.15
25028,516.42
43018,436.53
56767,104.93
70002,409.58
8190,545.72
25593,263.77
87179,939.16
58492,130.95
45261,516.41
20190,504.97
32328,917.7
83061,843.62
7,459.3
13422,907.35
25501,801.53
37949,462.61
51133,518.32
64051,480.69
75174,961.54
87122,986.57
15956,740.67
8570,271.42
21177,372.46
32125,212.02
45301,213.46
57342,440.93
70873,383.79
82034,264.53
23069,456.53
9470,430.33
71822,225.92
84399,163.83
35505,642.01
58884,222.41
47124,832.7
8,594.1
14006,983.49
26745,914.65
38608,524.34
51181,346.94
63967,922.48
75221,316.79
88342,739.26
43743,578.45
43330,303.21
26472,917.71
13273,307.24
72665,163.8
137,163.8
15758,163.8
43344,163.8
28938,163.8
8953,887.31
22531,218.08
34414,855.22
47627,296.2
59567,148.48
71258,708.57
83511,171.06
58036,163.8
23833,831.99
2833,644.15
67444,240.13
58688,474.89
615,118.38
14156,925.25
51280,102.89
88179,873.59
263,963.38
12628,597.35
25242,212.44
37935,790.59
50036,920.74
63066,578.58
76174,191.44
87542,425.85
88529,512.15
76326,276.86
12568,616.78
34046,762.63
38757,133.43
9527,347.64
50662,941.55
62337,920.98
25412,974.66
13677,931.73
62843,182.11
74910,786.32
55633,531.02
19989,428.82
12051,820.66
49859,380.56
34450,370.33
71564,781.22
65452,209.43
28525,954.31
83535,807.51
76325,347.52
41898,350.33
25440,733.1
88571,709.03
84877,425.34
72041,269.03
3434,790.85
14351,898.05
26858,261.31
40802,548.62
52787,850.1
64802,860.49
77554,265.67
77669,824.56
53071,533.1
10232,664.1
23138,815.46
34431,287.04
46948,301.96
59014,640.18
65597,488.01
71273,751.23
84241,566.39
48183,472.48
62860,1058.77
55243,727.33
13,577.8
14060,229.5
50601,859.22
86966,486.67
15006,170.73
25147,145.73
77402,431.42
38190,436.31
54705,812.91
63752,449.9
8369,927.3
76484,377.26
51369,261.03
88677,901.65
12861,121.94
519,613.77
88270,332.49
13118,641.0
50335,522.83
50167,697.85
52604,693.87
26402,669.44
54946,309.83
30877,517.29
63125,790.45
75062,833.77
38775,767.22
46233,318.75
12338,940.3
36386,911.22
85429,212.72
24831,851.72
61812,478.09
23590,331.52
74262,388.86
48871,521.84
40315,565.14
75034,750.91
75408,524.95
1341,826.78
13018,137.21
25132,163.69
38529,220.56
51226,882.25
63696,849.02
74861,871.11
87753,363.33
30659,487.65
59283,210.94
