tran_id,bene_bank_id
40439,bank_4
52234,bank_4
69179,bank_4
25023,bank_3
87041,bank_3
5837,bank_3
56554,bank_3
32384,bank_3
50926,bank_3
1356,bank_3
26941,bank_3
54572,bank_3
36665,bank_3
77147,bank_4
82843,bank_4
70216,bank_4
58149,bank_4
13019,bank_3
77607,bank_3
2789,bank_3
65027,bank_3
7920,bank_3
39487,bank_3
27095,bank_3
48791,bank_3
14484,bank_3
52581,bank_3
25156,bank_4
67412,bank_4
76592,bank_4
6108,bank_4
18576,bank_4
30475,bank_4
42873,bank_4
55217,bank_4
67903,bank_4
80918,bank_4
86956,bank_4
13829,bank_4
78468,bank_4
68983,bank_4
6,bank_3
25600,bank_3
33576,bank_3
29769,bank_3
7134,bank_3
20566,bank_3
39644,bank_3
27661,bank_3
14747,bank_3
46089,bank_3
37356,bank_3
57801,bank_3
7133,bank_3
69549,bank_3
21648,bank_3
82002,bank_3
1261,bank_0
13807,bank_0
26803,bank_0
38949,bank_0
51096,bank_0
63133,bank_0
76421,bank_0
87785,bank_0
13733,bank_2
25028,bank_2
43018,bank_2
56767,bank_2
70002,bank_3
8190,bank_3
25593,bank_3
87179,bank_3
58492,bank_3
45261,bank_3
20190,bank_3
32328,bank_3
83061,bank_3
7,bank_3
13422,bank_3
25501,bank_3
37949,bank_3
51133,bank_3
64051,bank_3
75174,bank_3
87122,bank_3
15956,bank_3
8570,bank_3
21177,bank_3
32125,bank_3
45301,bank_3
57342,bank_3
70873,bank_3
82034,bank_3
23069,bank_3
9470,bank_3
71822,bank_3
84399,bank_3
35505,bank_3
58884,bank_3
47124,bank_3
8,bank_2
14006,bank_2
26745,bank_2
38608,bank_2
51181,bank_2
63967,bank_2
75221,bank_2
88342,bank_2
43743,bank_2
43330,bank_2
26472,bank_2
13273,bank_2
72665,bank_3
137,bank_3
15758,bank_3
43344,bank_3
28938,bank_3
8953,bank_3
22531,bank_3
34414,bank_3
47627,bank_3
59567,bank_3
71258,bank_3
83511,bank_3
58036,bank_3
23833,bank_3
2833,bank_4
67444,bank_4
58688,bank_4
615,bank_3
14156,bank_3
51280,bank_3
88179,bank_3
263,bank_3
12628,bank_3
25242,bank_3
37935,bank_3
50036,bank_3
63066,bank_3
76174,bank_3
87542,bank_3
88529,bank_3
76326,bank_3
12568,bank_3
34046,bank_3
38757,bank_3
9527,bank_3
50662,bank_3
62337,bank_3
25412,bank_3
13677,bank_4
62843,bank_4
74910,bank_4
55633,bank_4
19989,bank_4
12051,bank_4
49859,bank_3
34450,bank_3
71564,bank_3
65452,bank_3
28525,bank_3
83535,bank_3
76325,bank_4
41898,bank_4
25440,bank_1
88571,bank_1
84877,bank_4
72041,bank_4
3434,bank_4
14351,bank_4
26858,bank_4
40802,bank_4
52787,bank_4
64802,bank_4
77554,bank_4
77669,bank_4
53071,bank_4
10232,bank_4
23138,bank_4
34431,bank_4
46948,bank_4
59014,bank_4
65597,bank_4
71273,bank_4
84241,bank_4
48183,bank_1
62860,bank_1
55243,bank_1
13,bank_3
14060,bank_3
50601,bank_3
86966,bank_3
15006,bank_3
25147,bank_3
77402,bank_3
38190,bank_3
54705,bank_3
63752,bank_3
8369,bank_3
76484,bank_3
51369,bank_3
88677,bank_3
12861,bank_3
519,bank_3
88270,bank_3
13118,bank_3
50335,bank_3
50167,bank_3
52604,bank_3
26402,bank_3
54946,bank_3
30877,bank_3
63125,bank_3
75062,bank_3
38775,bank_3
46233,bank_3
12338,bank_3
36386,bank_3
85429,bank_3
24831,bank_3
61812,bank_3
23590,bank_3
74262,bank_3
48871,bank_3
40315,bank_0
75034,bank_0
75408,bank_4
1341,bank_4
13018,bank_4
25132,bank_4
38529,bank_4
51226,bank_4
63696,bank_4
74861,bank_4
87753,bank_4
30659,bank_4
59283,bank_4
87321,bank_4
39427,bank_4
52940,bank_4
28521,bank_4
56505,bank_4
44967,bank_4
58920,bank_4
44861,bank_4
34478,bank_4
4139,bank_2
87746,bank_4
1094,bank_4
25659,bank_4
63656,bank_4
52631,bank_4
68832,bank_4
82515,bank_4
57349,bank_4
46756,bank_4
10395,bank_4
22380,bank_4
35351,bank_4
47272,bank_4
59032,bank_4
72474,bank_4
84491,bank_4
49375,bank_4
23652,bank_4
49590,bank_4
12557,bank_3
63378,bank_3
18599,bank_3
79976,bank_3
8929,bank_3
20905,bank_3
33498,bank_3
46016,bank_3
57760,bank_3
70829,bank_3
82216,bank_3
11516,bank_3
1641,bank_4
11597,bank_2
23838,bank_0
86206,bank_0
52032,bank_4
14445,bank_4
54824,bank_4
47605,bank_4
65473,bank_4
47362,bank_4
87104,bank_3
633,bank_3
12877,bank_3
25798,bank_3
14023,bank_3
79503,bank_3
60657,bank_3
75455,bank_3
