tran_id,bene_branch_id
40634,1
14602,1
28164,1
5764,1
18892,1
30991,1
43429,1
55344,1
64669,1
69257,1
80314,1
40807,1
67602,1
80304,1
2,1
38630,1
25355,1
13139,1
75548,1
14331,1
726,1
63221,1
13056,1
50090,1
87098,1
877,1
13970,1
25228,1
38533,1
50075,1
62327,1
75721,1
87523,1
12631,1
980,1
13771,1
25869,1
37564,1
50440,1
62833,1
74727,1
87031,1
1166,1
12581,1
25381,1
38525,1
50049,1
63825,1
75020,1
87551,1
75550,1
10915,1
74223,1
38303,1
1568,1
1578,1
13229,1
26426,1
38752,1
50622,1
63606,1
76293,1
88460,1
1674,1
38502,1
75703,1
14877,1
71615,1
27882,1
65269,1
26871,1
15101,1
64861,1
2888,1
65104,1
40258,1
77580,1
53320,1
40217,1
8099,1
3568,1
16443,1
28571,1
41335,1
53876,1
65890,1
78966,1
42693,1
4083,1
17276,1
29411,1
42382,1
53862,1
66461,1
78650,1
41058,1
67404,1
29965,1
55126,1
17122,1
78996,1
4557,1
16754,1
30236,1
41050,1
53563,1
67259,1
78708,1
54159,1
30247,1
5058,1
17533,1
29921,1
42327,1
54874,1
66754,1
78734,1
30144,1
5233,1
5268,1
16188,1
29909,1
42036,1
53654,1
66584,1
79054,1
43867,1
5612,1
31132,1
6041,1
18844,1
30732,1
43376,1
55387,1
68473,1
80785,1
31083,1
18282,1
6665,1
18255,1
6748,1
19579,1
31456,1
42941,1
55801,1
67703,1
80402,1
32064,1
56918,1
56176,1
56400,1
7111,1
19517,1
31846,1
43008,1
56796,1
68257,1
81328,1
7352,1
57698,1
7468,1
7513,1
20850,1
32408,1
44790,1
57614,1
70534,1
83041,1
20618,1
56985,1
19631,1
44894,1
20698,1
57812,1
21128,1
8331,1
19928,1
32970,1
45750,1
57262,1
69889,1
82280,1
19776,1
32783,1
8663,1
45914,1
47779,1
59350,1
46717,1
35407,1
9439,1
21653,1
34989,1
47359,1
59020,1
71609,1
83578,1
9488,1
22085,1
84500,1
83975,1
21858,1
84737,1
47315,1
71955,1
59969,1
23055,1
59726,1
23991,1
86797,1
85543,1
61669,1
35853,1
74517,1
49323,1
11244,1
61289,1
61495,1
11740,1
61318,1
11910,1
23913,1
36290,1
49700,1
61617,1
73766,1
85869,1
74598,1
60935,1
73349,1
48951,1
8008,1
21266,1
33886,1
46312,1
58449,1
70171,1
81669,1
25973,1
76735,1
14402,1
50835,1
2017,1
52475,1
30756,1
6054,1
26962,1
32857,1
10269,1
21836,1
34788,1
39321,1
47293,1
59276,1
71831,1
83670,1
36209,1
64506,1
7284,1
20497,1
33449,1
46143,1
57461,1
69970,1
83079,1
85421,1
33047,1
74462,1
60761,1
29571,1
26192,1
74611,1
43145,1
3,1
13540,1
26741,1
37754,1
50061,1
63998,1
74874,1
88605,1
76168,1
61233,1
2295,1
14732,1
23341,1
27077,1
39837,1
52923,1
65052,1
77798,1
2551,1
15253,1
27893,1
40471,1
52935,1
64738,1
77551,1
86739,1
36543,1
45415,1
33902,1
11994,1
22166,1
73019,1
48272,1
78906,1
28941,1
66030,1
53926,1
5,1
51307,1
13145,1
63267,1
26121,1
34294,1
46945,1
64963,1
3857,1
59622,1
72158,1
26226,1
86274,1
1308,1
14534,1
22192,1
2594,1
36132,1
73425,1
11985,1
4956,1
30982,1
19374,1
61057,1
7759,1
8555,1
48628,1
23906,1
83665,1
11986,1
59904,1
17952,1
37899,1
51205,1
14243,1
88340,1
26357,1
8047,1
70238,1
67177,1
41908,1
67067,1
55732,1
68894,1
82833,1
45397,1
9066,1
21973,1
34978,1
47622,1
59056,1
72777,1
84438,1
48569,1
62385,1
76183,1
87608,1
76387,1
63624,1
78885,1
67061,1
7,1
13592,1
26071,1
37529,1
49861,1
63308,1
76329,1
88107,1
10485,1
84504,1
5866,1
19600,1
31411,1
43923,1
56577,1
68093,1
81451,1
57966,1
49390,1
51457,1
39246,1
76184,1
26701,1
63139,1
40345,1
8,1
14159,1
26818,1
38223,1
50664,1
62663,1
74987,1
75956,1
88743,1
38805,1
25282,1
43118,1
50542,1
62639,1
39558,1
65470,1
53060,1
9,1
13506,1
26086,1
37905,1
51666,1
63755,1
75778,1
88645,1
66958,1
7663,1
20507,1
33492,1
45584,1
57512,1
69702,1
83330,1
28541,1
66430,1
67847,1
6305,1
6321,1
10414,1
21802,1
35370,1
47267,1
58970,1
72460,1
84224,1
10,1
25532,1
51570,1
38593,1
64512,1
87274,1
13350,1
80141,1
63094,1
26395,1
59291,1
76154,1
76209,1
79137,1
11,1
13605,1
26147,1
37600,1
50883,1
63457,1
75895,1
87073,1
2172,1
42977,1
16800,1
7413,1
20610,1
33646,1
45458,1
57550,1
70693,1
81910,1
10198,1
84472,1
12,1
12781,1
25678,1
38420,1
49875,1
62940,1
75889,1
87360,1
28280,1
40557,1
4117,1
29438,1
16194,1
67324,1
8512,1
20705,1
33386,1
45514,1
58270,1
71025,1
81725,1
8634,1
32346,1
58257,1
83084,1
9047,1
21523,1
34518,1
46777,1
60465,1
71892,1
83712,1
10151,1
21728,1
34340,1
47520,1
59787,1
71309,1
84944,1
61983,1
87761,1
62356,1
75396,1
50953,1
25966,1
79070,1
45777,1
33543,1
57056,1
14,1
12898,1
38296,1
38477,1
74803,1
59111,1
63130,1
50188,1
12170,1
24498,1
37066,1
48294,1
61160,1
73656,1
85910,1
88720,1
25352,1
66750,1
54369,1
27734,1
14100,1
75717,1
20260,1
57927,1
44943,1
8878,1
70122,1
47044,1
8825,1
21044,1
32475,1
44550,1
58558,1
70990,1
83096,1
50070,1
38567,1
4074,1
17426,1
29368,1
41020,1
54253,1
66040,1
79730,1
56561,1
68565,1
17,1
13404,1
26611,1
37815,1
51715,1
63515,1
76354,1
87405,1
87821,1
18,1
13405,1
26612,1
37816,1
51716,1
63516,1
76355,1
87406,1
13192,1
75825,1
14011,1
25512,1
51808,1
41631,1
16949,1
43099,1
31642,1
67654,1
32873,1
82251,1
19883,1
69971,1
8449,1
9373,1
22109,1
34800,1
46697,1
59816,1
71746,1
84609,1
49118,1
86245,1
19,1
13406,1
26613,1
37817,1
51717,1
63517,1
76356,1
87407,1
41741,1
61403,1
20,1
13407,1
26614,1
37818,1
51718,1
63518,1
76357,1
87408,1
72043,1
84350,1
21,1
13408,1
26615,1
37819,1
50149,1
51719,1
63519,1
76358,1
87409,1
4049,1
16870,1
28714,1
41611,1
53992,1
63777,1
66690,1
79851,1
66928,1
55118,1
41608,1
76508,1
65336,1
49541,1
58213,1
70586,1
83455,1
46352,1
63553,1
42456,1
39635,1
63011,1
1525,1
13183,1
26231,1
38113,1
50203,1
63225,1
75936,1
87678,1
2492,1
3689,1
52481,1
14807,1
28188,1
6388,1
19143,1
30743,1
43681,1
55653,1
68072,1
80486,1
43927,1
64280,1
48653,1
77115,1
41718,1
51418,1
37466,1
67055,1
16863,1
43301,1
15276,1
53541,1
5276,1
28554,1
66586,1
4968,1
29695,1
72959,1
79338,1
62473,1
16519,1
25189,1
62412,1
67514,1
53540,1
11317,1
73708,1
26819,1
63405,1
14044,1
51450,1
58264,1
88741,1
50692,1
4506,1
6273,1
17984,1
31721,1
42803,1
55372,1
68892,1
80288,1
58394,1
64682,1
40835,1
76886,1
4063,1
16884,1
28728,1
41625,1
54006,1
66704,1
79865,1
41347,1
56174,1
77743,1
16856,1
48281,1
76187,1
2373,1
62794,1
6944,1
18878,1
31378,1
43484,1
56820,1
68844,1
80156,1
87482,1
72745,1
48574,1
85012,1
62623,1
51228,1
6348,1
6372,1
19333,1
31112,1
43659,1
56046,1
69308,1
81610,1
25360,1
26535,1
56906,1
44211,1
19067,1
30462,1
7034,1
19332,1
19609,1
31431,1
44053,1
55244,1
68726,1
80343,1
68814,1
72832,1
80065,1
27697,1
48785,1
60637,1
7604,1
20248,1
32137,1
45183,1
58515,1
69528,1
74565,1
82054,1
86456,1
11829,1
24778,1
37031,1
48915,1
60837,1
74590,1
86720,1
28,1
87612,1
2223,1
2672,1
30608,1
9921,1
22875,1
34531,1
47569,1
60031,1
72006,1
84727,1
69319,1
25169,1
14529,1
8510,1
4296,1
17684,1
30159,1
41891,1
54547,1
65947,1
78452,1
3693,1
28753,1
81355,1
6366,1
81408,1
6534,1
19106,1
32054,1
43991,1
55276,1
68207,1
80206,1
7523,1
20860,1
32418,1
44800,1
57624,1
70544,1
83051,1
45388,1
23169,1
47718,1
59561,1
84444,1
38883,1
27549,1
2743,1
15399,1
27126,1
40279,1
53229,1
65534,1
76820,1
28529,1
16147,1
54399,1
55341,1
49916,1
15664,1
77322,1
56426,1
43414,1
7687,1
58603,1
32899,1
33907,1
59179,1
24602,1
86377,1
5030,1
16361,1
30260,1
41079,1
53738,1
66912,1
78351,1
85016,1
2611,1
6780,1
19100,1
31003,1
44198,1
56668,1
68897,1
81231,1
13467,1
75710,1
50300,1
3628,1
67444,1
66376,1
58294,1
32,1
12774,1
25312,1
37645,1
50609,1
63929,1
76406,1
88267,1
25525,1
51246,1
13463,1
75033,1
54360,1
28318,1
77982,1
39940,1
67758,1
2680,1
77941,1
40914,1
39548,1
78397,1
79034,1
66514,1
4955,1
