tran_id,base_amt
1,915.43
2,719.6
3,931.53
4,483.24
5,504.92
6,257.15
7,543.19
8,865.73
9,730.61
10,789.81
11,577.8
12,215.9
13,710.99
14,380.78
15,257.59
16,576.67
17,242.19
18,257.64
19,692.53
20,756.15
21,716.91
22,782.88
23,750.26
24,909.22
25,367.81
26,124.4
27,115.29
28,418.43
29,104.69
30,432.99
31,643.63
32,585.96
33,726.13
34,733.03
35,925.27
36,202.16
37,108.37
38,694.18
39,331.1
40,551.78
41,108.51
42,437.41
43,931.21
44,323.69
45,282.02
46,753.04
47,534.92
48,488.94
49,403.44
50,861.52
51,713.15
52,539.17
53,842.21
54,918.3
55,403.61
56,550.55
57,948.9
58,862.27
59,901.64
60,889.19
61,169.11
62,975.74
63,476.52
64,183.94
65,537.81
66,798.3
67,291.93
68,163.72
69,604.52
70,472.13
71,141.28
72,912.35
73,573.56
74,151.8
75,598.29
76,963.3
77,475.35
78,664.57
79,548.56
80,552.77
81,745.93
82,351.27
83,858.68
84,691.99
85,513.8
86,404.77
87,630.61
88,342.63
89,725.2
90,989.69
91,385.2
92,889.2
93,302.68
94,839.95
95,700.27
96,239.42
97,369.8
98,1040.51
99,721.47
100,381.45
101,244.88
102,540.81
103,501.5
104,338.22
105,980.93
106,927.68
107,644.83
108,254.81
109,235.99
110,141.38
111,794.33
112,230.31
113,273.65
114,961.89
115,664.32
116,938.82
117,833.71
118,287.22
119,283.16
120,359.21
121,188.65
122,878.14
123,613.73
124,703.94
125,376.73
126,536.02
127,593.51
128,610.82
129,178.66
130,376.52
131,572.0
132,483.73
133,455.81
134,312.8
135,669.3
136,189.98
137,829.99
138,935.56
139,756.03
140,110.33
141,888.39
142,759.38
143,858.14
144,469.93
145,504.56
146,759.07
147,904.11
148,774.26
149,273.67
150,132.78
151,612.93
152,180.93
153,400.81
154,612.62
155,424.22
156,519.28
157,799.31
158,112.8
159,990.13
160,423.45
161,757.7
162,431.79
163,634.02
164,942.13
165,537.43
166,100.2
167,384.84
168,229.32
169,941.98
170,637.67
171,584.92
172,884.96
173,264.41
174,235.61
175,338.38
176,185.44
177,391.23
178,189.05
179,125.67
180,636.45
181,610.15
182,865.28
183,739.88
184,435.57
185,991.86
186,920.04
187,727.26
188,482.19
189,998.04
190,289.64
191,909.92
192,489.29
193,276.54
194,334.11
195,836.88
196,986.38
197,580.17
198,925.19
199,990.8
200,174.29
201,720.52
202,154.54
203,674.27
204,544.57
205,396.76
206,889.47
207,690.88
208,283.58
209,827.28
210,823.94
211,186.06
212,571.26
213,203.06
214,135.05
215,400.32
216,720.5
217,923.28
218,615.46
219,433.29
220,485.31
221,499.01
222,616.06
223,853.93
224,296.93
225,176.31
226,364.79
227,813.84
228,832.4
229,410.51
230,139.8
231,927.78
232,877.24
233,823.69
234,153.58
235,482.65
236,990.87
237,288.48
238,841.59
239,189.1
240,551.69
241,677.73
242,302.24
243,388.83
244,110.94
245,194.33
246,496.05
247,351.83
248,152.8
249,683.96
250,506.81
251,631.6
252,1028.5
253,728.78
254,252.09
255,513.88
256,201.56
257,850.7
258,578.28
259,567.53
260,969.34
261,117.86
262,640.84
263,466.31
264,410.7
265,677.09
266,199.36
267,176.1
268,181.91
269,295.42
270,728.88
271,793.24
272,242.27
273,665.24
274,388.33
275,188.9
276,723.43
277,961.47
278,735.13
279,605.66
280,474.24
281,494.12
282,733.09
283,381.79
284,654.04
285,313.08
286,760.2
287,138.52
288,282.08
289,228.95
290,231.57
291,783.51
292,244.27
293,684.51
294,961.22
295,677.56
296,831.39
297,820.53
298,727.64
299,374.17
300,766.26
301,981.49
302,292.29
303,765.27
304,919.54
305,947.74
306,326.56
307,394.58
308,366.55
309,203.17
310,621.39
311,439.78
312,209.81
313,383.41
314,563.83
315,827.09
316,205.53
317,582.64
318,625.78
319,495.4
320,477.97
321,625.39
322,356.89
323,503.13
324,897.82
325,102.45
326,136.21
327,946.76
328,426.5
329,956.12
330,690.92
331,373.52
332,924.2
333,939.06
334,870.48
335,437.54
336,594.19
337,552.05
338,452.28
339,775.54
340,126.35
341,154.41
342,175.34
343,101.06
344,708.94
345,163.47
346,531.23
347,608.49
348,587.64
349,173.43
350,470.52
351,271.21
352,557.18
353,695.02
354,123.25
355,423.57
356,535.53
357,982.38
358,562.66
359,390.43
360,862.94
361,966.35
362,879.07
363,407.78
364,357.61
365,111.16
366,106.44
367,490.66
368,309.98
369,763.43
370,434.03
371,864.51
372,151.8
373,963.14
374,734.45
375,527.3
376,143.38
377,980.4
378,286.44
379,745.59
380,581.23
381,591.55
382,481.3
383,993.95
384,745.95
385,603.52
386,717.2
387,403.68
388,976.7
389,784.55
390,610.03
391,592.94
392,116.84
393,908.65
394,393.26
395,119.04
396,660.39
397,759.11
398,468.4
399,233.1
