tran_id,bene_acct
1,559
2,9998
3,8152
4,1655
5,8810
6,4750
7,8386
8,2672
9,9405
10,8482
11,8156
12,9768
13,4807
14,8464
15,882
16,5961
17,7838
18,9908
19,5488
20,6776
21,2568
22,1037
23,6052
24,5307
25,460
26,6509
27,2558
28,9387
29,1468
30,7501
31,7161
32,9978
33,1681
34,6416
35,9851
36,2385
37,2090
38,135
39,8742
40,649
41,8584
42,1159
43,8607
44,1527
45,5655
46,6756
47,955
48,589
49,8477
50,2738
51,60
52,8265
53,4294
54,9327
55,2452
56,2499
57,1556
58,1031
59,9317
60,6439
61,4611
62,5079
63,6640
64,8664
65,1594
66,2721
67,9985
68,434
69,9561
70,5592
71,6576
72,2717
73,4756
74,5882
75,9942
76,9494
77,7455
78,8661
79,9970
80,6627
81,6536
82,1024
83,3945
84,9238
85,618
86,167
87,572
88,1306
89,8616
90,8752
91,4473
92,633
93,3042
94,2475
95,9793
96,2106
97,662
98,4514
99,5678
100,1058
101,7436
102,3480
103,9021
104,754
105,2761
106,485
107,2664
108,8419
109,9881
110,6226
111,2432
112,1888
113,3317
114,8255
115,4561
116,4095
117,2539
118,9901
119,8430
120,6669
121,8146
122,6504
123,4127
124,853
125,6306
126,3183
127,8743
128,3795
129,4960
130,6696
131,4052
132,7005
133,9999
134,9506
135,8114
136,6344
137,8150
138,4515
139,9974
140,762
141,4223
142,8502
143,9130
144,2440
145,4742
146,2326
147,6629
148,8319
149,8663
150,3958
151,611
152,8549
153,6911
154,1021
155,4900
156,9957
157,2159
158,236
159,470
160,4850
161,4416
162,5209
163,736
164,8471
165,7328
166,8087
167,8970
168,1033
169,7102
170,1368
171,2470
172,4695
173,6389
174,465
175,9257
176,1975
177,7763
178,4942
179,51
180,2330
181,8748
182,4764
183,9987
184,219
185,8245
186,9601
187,8819
188,7039
189,9458
190,9784
191,9720
192,2759
193,4613
194,9995
195,1324
196,4441
197,9678
198,312
199,2847
200,62
201,2427
202,9999
203,6427
204,6461
205,7367
206,6106
207,9845
208,565
209,8792
210,69
211,5151
212,7759
213,690
214,9957
215,1330
216,1376
217,9820
218,2696
219,6498
220,9022
221,4803
222,4541
223,8219
224,9711
225,7070
226,7153
227,8114
228,6866
229,6501
230,9774
231,7676
232,667
233,9977
234,4565
235,1398
236,797
237,8572
238,4318
239,9530
240,9793
241,2981
242,8250
243,9426
244,8973
245,4440
246,6653
247,7122
248,9582
249,9627
250,491
251,3426
252,1903
253,1631
254,132
255,9142
256,9979
257,5360
258,4842
259,8629
260,3394
261,7271
262,9974
263,5655
264,6707
265,9532
266,3486
267,2413
268,8660
269,9940
270,8944
271,9705
272,985
273,8272
274,3317
275,8496
276,482
277,9532
278,935
279,7732
280,8769
281,6987
282,2381
283,6743
284,9157
285,5729
286,4476
287,6746
288,2608
289,4523
290,3189
291,8428
292,9678
293,4553
294,389
295,1283
296,1614
297,6815
298,6500
299,8418
300,3507
301,6709
302,9953
303,7995
304,3343
305,4567
306,1139
307,5299
308,4441
309,9848
310,555
311,9204
312,3524
313,8433
314,2176
315,9958
316,8050
317,5109
318,4939
319,7861
320,3274
321,9054
322,1005
323,1794
324,859
325,1491
326,9514
327,5944
328,9749
329,4238
330,3385
331,3757
332,2091
333,8427
334,8617
335,4203
336,284
337,47
338,2223
339,4711
340,7156
341,5982
342,798
343,2949
344,8413
345,6288
346,8191
347,6729
348,9556
349,6784
350,5017
351,672
352,4576
353,8540
354,5755
355,8434
356,602
357,6956
358,5819
359,2552
360,9970
361,4260
362,9897
363,6382
364,4737
365,734
366,7274
367,5922
368,6596
369,1186
370,8701
371,1499
372,6550
373,5170
374,9115
375,9600
376,9588
377,8786
378,9996
379,9992
380,6107
381,9455
382,159
383,1072
384,8804
385,3523
386,6196
387,6735
388,8526
389,3666
390,9920
391,7725
392,4139
393,9868
394,4627
395,9766
396,758
397,1639
398,1459
399,4489
400,3974
401,8972
402,2847
403,9825
404,7992
405,4296
406,7309
407,9808
408,6260
409,8309
410,9305
411,9382
412,6215
413,9291
414,9861
415,9909
416,9939
417,4653
418,52
419,9637
420,4112
421,2394
422,5056
423,9930
424,8693
425,850
426,1319
427,9703
428,5487
429,5799
430,6178
431,306
432,3405
433,8428
434,1544
435,2916
436,2920
437,4105
438,1193
439,8472
440,2014
441,3253
442,9992
443,8166
444,1840
445,2448
446,9119
447,8493
448,7820
449,4544
450,9644
451,4936
452,3536
453,4759
454,2542
455,9659
456,9918
457,9316
458,6785
459,209
460,9364
461,5109
462,4483
463,9232
464,7992
465,9854
466,6607
467,1450
468,9979
469,8619
470,5320
471,9333
472,3338
473,9119
474,2660
475,6282
476,9059
477,1509
478,8550
479,9995
480,9476
481,682
482,8218
483,9794
484,6588
485,1837
486,6511
487,58
488,9945
489,7527
490,808
491,6757
492,6757
493,9384
494,9870
495,6634
496,631
497,9328
498,6058
499,600
500,2439
501,8544
502,9606
503,4465
504,4538
505,8401
506,9170
507,9255
508,4745
509,9693
510,4824
511,9049
512,8272
513,4070
514,745
515,2733
516,2365
517,968
518,8651
519,4914
520,9967
521,1931
522,9399
523,2448
524,3188
525,7235
526,372
527,7169
528,9836
529,2780
530,1675
531,8517
532,1264
533,2186
534,9943
535,6999
536,7874
537,1864
538,715
539,2535
540,2528
541,4442
542,5269
543,5882
544,9074
545,642
546,676
547,6074
548,3758
549,2863
550,4381
551,8769
552,2411
553,4892
554,3072
555,9510
556,9223
557,4649
558,7493
559,6904
560,560
561,587
562,9813
563,488
564,2448
565,9301
566,6471
567,5214
568,6400
569,2150
570,2399
571,2992
572,7158
573,6244
574,5054
575,5629
576,1259
577,655
578,9858
579,4271
580,429
581,8529
582,3622
583,3280
584,5177
585,4106
586,6369
587,5138
588,8065
589,9967
590,7442
591,9435
