tran_id,orig_acct
1,2910
2,7248
3,5900
4,1033
5,8122
6,2401
7,7700
8,8808
9,5747
10,1728
11,7795
12,5691
13,1995
14,2488
15,1103
16,1299
17,9800
18,9800
19,9800
20,9800
21,9800
22,4856
23,3349
24,360
25,7437
26,527
27,1802
28,4389
29,4821
30,3728
31,1416
32,1933
33,5163
34,2774
35,3416
36,2847
37,8867
38,7143
39,4138
40,2605
41,245
42,5058
43,5301
44,3059
45,1704
46,542
47,6910
48,6736
49,9271
50,8909
51,5162
52,1443
53,9362
54,9203
55,1410
56,7109
57,5988
58,3125
59,2126
60,117
61,1658
62,7996
63,5047
64,5672
65,5159
66,3823
67,3522
68,3769
69,3846
70,6268
71,9429
72,2180
73,7992
74,7424
75,118
76,1840
77,3654
78,3087
79,8092
80,1697
81,295
82,8950
83,3915
84,3533
85,1326
86,1098
87,2882
88,5738
89,456
90,1479
91,359
92,2931
93,1664
94,2520
95,5204
96,827
97,1920
98,6235
99,9403
100,9543
101,7402
102,1564
103,5791
104,9062
105,5114
106,7299
107,6125
108,5878
109,5827
110,8114
111,4411
112,4804
113,3409
114,7846
115,1340
116,6895
117,2961
118,1680
119,1007
120,534
121,2193
122,3923
123,4868
124,5152
125,176
126,1116
127,2118
128,7546
129,3308
130,2235
131,7275
132,3637
133,2164
134,1242
135,16
136,1816
137,7314
138,2527
139,9285
140,8732
141,1548
142,4282
143,35
144,2864
145,590
146,9690
147,9690
148,9690
149,9690
150,2940
151,1680
152,2497
153,4196
154,9160
155,213
156,178
157,898
158,4317
159,5790
160,5391
161,704
162,3282
163,1159
164,3392
165,9216
166,3216
167,3603
168,7466
169,5972
170,2914
171,915
172,3737
173,4096
174,5188
175,357
176,9711
177,9711
178,9711
179,9711
180,2150
181,2426
182,5705
183,9886
184,9886
185,9886
186,9886
187,9886
188,9886
189,9886
190,9215
191,6134
192,7365
193,2367
194,6298
195,4932
196,5469
197,5337
198,2937
199,5994
200,936
201,3770
202,9626
203,9626
204,9626
205,5819
206,3217
207,8367
208,9027
209,1750
210,9141
211,1013
212,1573
213,6803
214,9245
215,2953
216,5136
217,2273
218,3427
219,2082
220,3672
221,346
222,2296
223,8366
224,5394
225,4307
226,7835
227,3519
228,7863
229,1069
230,2318
231,3720
232,5539
233,3941
234,4098
235,6908
236,505
237,2373
238,2172
239,9951
240,9951
241,9951
