tran_id,tx_type
1,TRANSFER
2,TRANSFER
3,TRANSFER
4,TRANSFER
5,TRANSFER
6,TRANSFER
7,TRANSFER
8,TRANSFER
9,TRANSFER
10,TRANSFER
11,TRANSFER
12,TRANSFER
13,TRANSFER
14,TRANSFER
15,TRANSFER
16,TRANSFER
17,TRANSFER
18,TRANSFER
19,TRANSFER
20,TRANSFER
21,TRANSFER
22,TRANSFER
23,TRANSFER
24,TRANSFER
25,TRANSFER
26,TRANSFER
27,TRANSFER
28,TRANSFER
29,TRANSFER
30,TRANSFER
31,TRANSFER
32,TRANSFER
33,TRANSFER
34,TRANSFER
35,TRANSFER
36,TRANSFER
37,TRANSFER
38,TRANSFER
39,TRANSFER
40,TRANSFER
41,TRANSFER
42,TRANSFER
43,TRANSFER
44,TRANSFER
45,TRANSFER
46,TRANSFER
47,TRANSFER
48,TRANSFER
49,TRANSFER
50,TRANSFER
51,TRANSFER
52,TRANSFER
53,TRANSFER
54,TRANSFER
55,TRANSFER
56,TRANSFER
57,TRANSFER
58,TRANSFER
59,TRANSFER
60,TRANSFER
61,TRANSFER
62,TRANSFER
63,TRANSFER
64,TRANSFER
65,TRANSFER
66,TRANSFER
67,TRANSFER
68,TRANSFER
69,TRANSFER
70,TRANSFER
71,TRANSFER
72,TRANSFER
73,TRANSFER
74,TRANSFER
75,TRANSFER
76,TRANSFER
77,TRANSFER
78,TRANSFER
79,TRANSFER
80,TRANSFER
81,TRANSFER
82,TRANSFER
83,TRANSFER
84,TRANSFER
85,TRANSFER
86,TRANSFER
87,TRANSFER
88,TRANSFER
89,TRANSFER
90,TRANSFER
91,TRANSFER
92,TRANSFER
93,TRANSFER
94,TRANSFER
95,TRANSFER
96,TRANSFER
97,TRANSFER
98,TRANSFER
99,TRANSFER
100,TRANSFER
101,TRANSFER
102,TRANSFER
103,TRANSFER
104,TRANSFER
105,TRANSFER
106,TRANSFER
107,TRANSFER
108,TRANSFER
109,TRANSFER
110,TRANSFER
111,TRANSFER
112,TRANSFER
113,TRANSFER
114,TRANSFER
115,TRANSFER
116,TRANSFER
117,TRANSFER
118,TRANSFER
119,TRANSFER
120,TRANSFER
121,TRANSFER
122,TRANSFER
123,TRANSFER
124,TRANSFER
125,TRANSFER
126,TRANSFER
127,TRANSFER
128,TRANSFER
129,TRANSFER
130,TRANSFER
131,TRANSFER
132,TRANSFER
133,TRANSFER
134,TRANSFER
135,TRANSFER
136,TRANSFER
137,TRANSFER
138,TRANSFER
139,TRANSFER
140,TRANSFER
141,TRANSFER
142,TRANSFER
143,TRANSFER
144,TRANSFER
145,TRANSFER
146,TRANSFER
147,TRANSFER
148,TRANSFER
149,TRANSFER
150,TRANSFER
151,TRANSFER
152,TRANSFER
153,TRANSFER
154,TRANSFER
155,TRANSFER
156,TRANSFER
157,TRANSFER
158,TRANSFER
159,TRANSFER
160,TRANSFER
161,TRANSFER
162,TRANSFER
163,TRANSFER
164,TRANSFER
165,TRANSFER
166,TRANSFER
167,TRANSFER
168,TRANSFER
169,TRANSFER
170,TRANSFER
171,TRANSFER
172,TRANSFER
173,TRANSFER
174,TRANSFER
175,TRANSFER
176,TRANSFER
177,TRANSFER
178,TRANSFER
179,TRANSFER
180,TRANSFER
181,TRANSFER
182,TRANSFER
183,TRANSFER
184,TRANSFER
185,TRANSFER
186,TRANSFER
187,TRANSFER
188,TRANSFER
189,TRANSFER
190,TRANSFER
191,TRANSFER
192,TRANSFER
193,TRANSFER
194,TRANSFER
195,TRANSFER
196,TRANSFER
197,TRANSFER
198,TRANSFER
199,TRANSFER
200,TRANSFER
201,TRANSFER
202,TRANSFER
203,TRANSFER
204,TRANSFER
205,TRANSFER
206,TRANSFER
207,TRANSFER
208,TRANSFER
209,TRANSFER
210,TRANSFER
211,TRANSFER
212,TRANSFER
213,TRANSFER
214,TRANSFER
215,TRANSFER
216,TRANSFER
217,TRANSFER
218,TRANSFER
219,TRANSFER
220,TRANSFER
221,TRANSFER
222,TRANSFER
223,TRANSFER
224,TRANSFER
225,TRANSFER
226,TRANSFER
227,TRANSFER
228,TRANSFER
229,TRANSFER
230,TRANSFER
231,TRANSFER
232,TRANSFER
233,TRANSFER
234,TRANSFER
235,TRANSFER
236,TRANSFER
237,TRANSFER
238,TRANSFER
239,TRANSFER
240,TRANSFER
241,TRANSFER
242,TRANSFER
243,TRANSFER
244,TRANSFER
245,TRANSFER
246,TRANSFER
247,TRANSFER
248,TRANSFER
249,TRANSFER
250,TRANSFER
251,TRANSFER
252,TRANSFER
253,TRANSFER
254,TRANSFER
255,TRANSFER
256,TRANSFER
257,TRANSFER
258,TRANSFER
259,TRANSFER
260,TRANSFER
261,TRANSFER
262,TRANSFER
263,TRANSFER
264,TRANSFER
265,TRANSFER
266,TRANSFER
267,TRANSFER
268,TRANSFER
269,TRANSFER
270,TRANSFER
271,TRANSFER
272,TRANSFER
273,TRANSFER
274,TRANSFER
275,TRANSFER
276,TRANSFER
277,TRANSFER
278,TRANSFER
279,TRANSFER
280,TRANSFER
281,TRANSFER
282,TRANSFER
283,TRANSFER
284,TRANSFER
285,TRANSFER
286,TRANSFER
287,TRANSFER
288,TRANSFER
289,TRANSFER
290,TRANSFER
291,TRANSFER
292,TRANSFER
293,TRANSFER
294,TRANSFER
295,TRANSFER
296,TRANSFER
297,TRANSFER
298,TRANSFER
299,TRANSFER
300,TRANSFER
301,TRANSFER
302,TRANSFER
303,TRANSFER
304,TRANSFER
305,TRANSFER
306,TRANSFER
307,TRANSFER
308,TRANSFER
309,TRANSFER
310,TRANSFER
311,TRANSFER
312,TRANSFER
313,TRANSFER
314,TRANSFER
315,TRANSFER
316,TRANSFER
