tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp,is_sar,alert_id,orig_branch_id,orig_bank_id,bene_branch_id,bene_bank_id
1,1618,780,TRANSFER,915.43,2017-01-01 16:43:17,False,-1,1,bank_1,1,bank_1
13135,1618,780,TRANSFER,346.27,2017-01-08 04:50:18,False,-1,1,bank_1,1,bank_1
13546,1618,780,TRANSFER,104.21,2017-01-08 16:55:46,False,-1,1,bank_1,1,bank_1
26058,1618,780,TRANSFER,324.75,2017-01-15 22:10:11,False,-1,1,bank_1,1,bank_1
39106,1618,780,TRANSFER,177.39,2017-01-22 18:48:03,False,-1,1,bank_1,1,bank_1
50254,1618,780,TRANSFER,633.32,2017-01-29 18:36:14,False,-1,1,bank_1,1,bank_1
62602,1618,780,TRANSFER,780.31,2017-02-05 14:50:52,False,-1,1,bank_1,1,bank_1
75512,1618,780,TRANSFER,827.04,2017-02-12 15:22:23,False,-1,1,bank_1,1,bank_1
87404,1618,780,TRANSFER,111.04,2017-02-19 01:42:39,False,-1,1,bank_1,1,bank_1
87454,1618,780,TRANSFER,417.29,2017-02-19 04:35:19,False,-1,1,bank_1,1,bank_1
348,1350,780,TRANSFER,163.47,2017-01-01 15:20:27,False,-1,1,bank_1,1,bank_1
71583,1350,780,TRANSFER,909.66,2017-02-10 17:17:55,False,-1,1,bank_1,1,bank_1
74702,1350,780,TRANSFER,262.83,2017-02-12 03:43:31,False,-1,1,bank_1,1,bank_1
993,148,780,TRANSFER,414.36,2017-01-01 10:10:10,False,-1,1,bank_4,1,bank_1
25897,148,780,TRANSFER,991.36,2017-01-15 23:00:51,False,-1,1,bank_4,1,bank_1
38708,1128,780,TRANSFER,659.6,2017-01-22 14:48:46,False,-1,1,bank_4,1,bank_1
51698,1925,780,TRANSFER,288.73,2017-01-29 18:07:47,False,-1,1,bank_4,1,bank_1
63571,1952,780,TRANSFER,968.46,2017-02-05 11:22:48,False,-1,1,bank_4,1,bank_1
2,93,236,TRANSFER,886.43,2017-01-01 01:53:50,False,-1,1,bank_1,1,bank_1
62662,93,236,TRANSFER,124.43,2017-02-05 10:06:03,False,-1,1,bank_1,1,bank_1
10419,1111,236,TRANSFER,334.59,2017-01-06 17:00:00,False,-1,1,bank_1,1,bank_1
21571,1111,236,TRANSFER,520.84,2017-01-13 21:23:28,False,-1,1,bank_1,1,bank_1
34264,1111,236,TRANSFER,245.36,2017-01-20 06:13:43,False,-1,1,bank_1,1,bank_1
47200,1111,236,TRANSFER,300.81,2017-01-27 09:26:29,False,-1,1,bank_1,1,bank_1
59448,1111,236,TRANSFER,144.67,2017-02-03 21:53:21,False,-1,1,bank_1,1,bank_1
71771,1111,236,TRANSFER,786.53,2017-02-10 14:59:00,False,-1,1,bank_1,1,bank_1
84034,1111,236,TRANSFER,313.52,2017-02-17 08:19:34,False,-1,1,bank_1,1,bank_1
13547,93,40,TRANSFER,502.59,2017-01-08 23:19:00,False,-1,1,bank_1,1,bank_4
74726,93,40,TRANSFER,454.33,2017-02-12 02:27:02,False,-1,1,bank_1,1,bank_4
25023,93,1796,TRANSFER,973.39,2017-01-15 05:28:22,False,-1,1,bank_1,1,bank_3
87041,93,1796,TRANSFER,755.44,2017-02-19 01:08:09,False,-1,1,bank_1,1,bank_3
38594,93,262,TRANSFER,378.45,2017-01-22 08:24:27,False,-1,1,bank_1,1,bank_2
50926,93,1921,TRANSFER,141.95,2017-01-29 09:26:03,False,-1,1,bank_1,1,bank_3
54572,1476,1921,TRANSFER,115.14,2017-01-31 18:56:02,False,-1,1,bank_1,1,bank_3
3,867,186,TRANSFER,454.24,2017-01-01 18:59:40,False,-1,1,bank_2,1,bank_1
13059,867,186,TRANSFER,918.35,2017-01-08 11:29:24,False,-1,1,bank_2,1,bank_1
25327,867,186,TRANSFER,768.5,2017-01-15 03:30:22,False,-1,1,bank_2,1,bank_1
38672,867,186,TRANSFER,520.68,2017-01-22 00:12:16,False,-1,1,bank_2,1,bank_1
50595,867,186,TRANSFER,229.15,2017-01-29 20:28:05,False,-1,1,bank_2,1,bank_1
62360,867,186,TRANSFER,475.54,2017-02-05 11:17:51,False,-1,1,bank_2,1,bank_1
74863,867,186,TRANSFER,515.27,2017-02-12 01:15:39,False,-1,1,bank_2,1,bank_1
88541,867,186,TRANSFER,228.52,2017-02-19 03:51:10,False,-1,1,bank_2,1,bank_1
685,1918,186,TRANSFER,200.5,2017-01-01 16:07:46,False,-1,1,bank_4,1,bank_1
13800,1918,186,TRANSFER,660.99,2017-01-08 10:30:57,False,-1,1,bank_4,1,bank_1
26542,1918,186,TRANSFER,487.67,2017-01-15 14:45:53,False,-1,1,bank_4,1,bank_1
38271,1918,186,TRANSFER,979.19,2017-01-22 20:53:53,False,-1,1,bank_4,1,bank_1
50217,1918,186,TRANSFER,556.91,2017-01-29 11:59:49,False,-1,1,bank_4,1,bank_1
63424,1918,186,TRANSFER,567.3,2017-02-05 15:57:51,False,-1,1,bank_4,1,bank_1
75549,1918,186,TRANSFER,990.16,2017-02-12 23:52:53,False,-1,1,bank_4,1,bank_1
87646,1918,186,TRANSFER,279.77,2017-02-19 15:00:41,False,-1,1,bank_4,1,bank_1
65134,1509,186,TRANSFER,694.8,2017-02-06 09:31:39,False,-1,1,bank_2,1,bank_1
18347,1290,186,TRANSFER,205.9,2017-01-11 23:19:46,False,-1,1,bank_1,1,bank_1
20844,1029,575,TRANSFER,794.29,2017-01-12 06:44:11,False,-1,1,bank_1,1,bank_4
32534,1076,575,TRANSFER,146.02,2017-01-19 18:40:28,False,-1,1,bank_1,1,bank_4
8889,592,575,TRANSFER,701.63,2017-01-05 08:29:19,False,-1,1,bank_1,1,bank_4
2604,1066,1866,TRANSFER,675.9,2017-01-02 14:38:30,False,-1,1,bank_1,1,bank_0
14832,1066,1866,TRANSFER,385.61,2017-01-09 23:27:11,False,-1,1,bank_1,1,bank_0
28233,1066,1866,TRANSFER,745.41,2017-01-16 15:03:08,False,-1,1,bank_1,1,bank_0
40781,1066,1866,TRANSFER,746.57,2017-01-23 13:56:21,False,-1,1,bank_1,1,bank_0
52330,1066,1866,TRANSFER,252.4,2017-01-30 00:07:15,False,-1,1,bank_1,1,bank_0
64750,1066,1866,TRANSFER,147.78,2017-02-06 09:15:34,False,-1,1,bank_1,1,bank_0
77879,1066,1866,TRANSFER,948.05,2017-02-13 20:27:12,False,-1,1,bank_1,1,bank_0
63381,1395,1842,TRANSFER,703.73,2017-02-05 11:14:39,False,-1,1,bank_1,1,bank_2
26033,399,1921,TRANSFER,774.54,2017-01-15 20:09:05,False,-1,1,bank_1,1,bank_4
18076,1392,1921,TRANSFER,644.55,2017-01-11 14:28:15,False,-1,1,bank_1,1,bank_4
42800,228,1921,TRANSFER,683.9,2017-01-25 15:24:48,False,-1,1,bank_1,1,bank_4
32239,1460,1921,TRANSFER,338.12,2017-01-19 10:17:29,False,-1,1,bank_1,1,bank_4
15689,1809,605,TRANSFER,103.11,2017-01-09 03:31:53,False,-1,1,bank_1,1,bank_2
28080,1890,605,TRANSFER,321.27,2017-01-16 15:35:02,False,-1,1,bank_1,1,bank_2
10884,1199,1391,TRANSFER,517.64,2017-01-07 23:30:05,False,-1,1,bank_1,1,bank_2
24396,1199,1391,TRANSFER,971.68,2017-01-14 19:54:11,False,-1,1,bank_1,1,bank_2
36635,1199,1391,TRANSFER,778.12,2017-01-21 18:57:39,False,-1,1,bank_1,1,bank_2
48941,1199,1391,TRANSFER,983.37,2017-01-28 16:33:17,False,-1,1,bank_1,1,bank_2
