tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp,is_sar,alert_id
5,8122,8810,TRANSFER,504.92,2017-01-01 00:00:00+00:00,False,-1
8,8808,2672,TRANSFER,865.73,2017-01-01 00:00:00+00:00,False,-1
17,9800,7838,TRANSFER,242.19,2017-01-01 00:00:00+00:00,False,-1
18,9800,9908,TRANSFER,257.64,2017-01-01 00:00:00+00:00,False,-1
19,9800,5488,TRANSFER,692.53,2017-01-01 00:00:00+00:00,False,-1
20,9800,6776,TRANSFER,756.15,2017-01-01 00:00:00+00:00,False,-1
21,9800,2568,TRANSFER,716.91,2017-01-01 00:00:00+00:00,False,-1
37,8867,2090,TRANSFER,108.37,2017-01-01 00:00:00+00:00,False,-1
49,9271,8477,TRANSFER,403.44,2017-01-01 00:00:00+00:00,False,-1
50,8909,2738,TRANSFER,861.52,2017-01-01 00:00:00+00:00,False,-1
53,9362,4294,TRANSFER,842.21,2017-01-01 00:00:00+00:00,False,-1
54,9203,9327,TRANSFER,918.3,2017-01-01 00:00:00+00:00,False,-1
71,9429,6576,TRANSFER,141.28,2017-01-01 00:00:00+00:00,False,-1
79,8092,9970,TRANSFER,548.56,2017-01-01 00:00:00+00:00,False,-1
82,8950,1024,TRANSFER,351.27,2017-01-01 00:00:00+00:00,False,-1
99,9403,5678,TRANSFER,721.47,2017-01-01 00:00:00+00:00,False,-1
100,9543,1058,TRANSFER,381.45,2017-01-01 00:00:00+00:00,False,-1
104,9062,754,TRANSFER,338.22,2017-01-01 00:00:00+00:00,False,-1
110,8114,6226,TRANSFER,141.38,2017-01-01 00:00:00+00:00,False,-1
139,9285,9974,TRANSFER,756.03,2017-01-01 00:00:00+00:00,False,-1
140,8732,762,TRANSFER,110.33,2017-01-01 00:00:00+00:00,False,-1
146,9690,2326,TRANSFER,759.07,2017-01-01 00:00:00+00:00,False,-1
147,9690,6629,TRANSFER,904.11,2017-01-01 00:00:00+00:00,False,-1
148,9690,8319,TRANSFER,774.26,2017-01-01 00:00:00+00:00,False,-1
149,9690,8663,TRANSFER,273.67,2017-01-01 00:00:00+00:00,False,-1
154,9160,1021,TRANSFER,612.62,2017-01-01 00:00:00+00:00,False,-1
165,9216,7328,TRANSFER,537.43,2017-01-01 00:00:00+00:00,False,-1
176,9711,1975,TRANSFER,185.44,2017-01-01 00:00:00+00:00,False,-1
177,9711,7763,TRANSFER,391.23,2017-01-01 00:00:00+00:00,False,-1
178,9711,4942,TRANSFER,189.05,2017-01-01 00:00:00+00:00,False,-1
179,9711,51,TRANSFER,125.67,2017-01-01 00:00:00+00:00,False,-1
183,9886,9987,TRANSFER,739.88,2017-01-01 00:00:00+00:00,False,-1
184,9886,219,TRANSFER,435.57,2017-01-01 00:00:00+00:00,False,-1
185,9886,8245,TRANSFER,991.86,2017-01-01 00:00:00+00:00,False,-1
186,9886,9601,TRANSFER,920.04,2017-01-01 00:00:00+00:00,False,-1
187,9886,8819,TRANSFER,727.26,2017-01-01 00:00:00+00:00,False,-1
